mpg,cylinders,displacement,horsepower,weight,acceleration,age
19.1,6,225.0,90,3381,18.7,39
18.0,6,225.0,95,3785,19.0,44
21.5,3,80.0,110,2720,13.5,42
26.0,4,97.0,78,2300,14.5,45
25.8,4,156.0,92,2620,14.4,38
16.2,6,163.0,133,3410,15.8,41
16.0,6,250.0,100,3781,17.0,45
26.0,4,91.0,70,1955,20.5,48
26.0,4,121.0,113,2234,12.5,49
28.0,4,90.0,75,2125,14.5,45
13.0,8,350.0,155,4502,13.5,47
17.0,8,260.0,110,4060,19.0,42
33.8,4,97.0,67,2145,18.0,39
38.0,6,262.0,85,3015,17.0,37
20.0,4,97.0,88,2279,19.0,46
33.5,4,85.0,70,1945,16.8,42
18.0,4,121.0,112,2933,14.5,47
14.0,8,400.0,175,4464,11.5,48
28.1,4,141.0,80,3230,20.4,38
27.0,4,97.0,88,2130,14.5,48
15.5,8,351.0,142,4054,14.3,40
15.0,8,318.0,150,3777,12.5,46
12.0,8,429.0,198,4952,11.5,46
13.0,8,400.0,150,4464,12.0,46
19.0,6,250.0,100,3282,15.0,48
20.0,4,130.0,102,3150,15.7,43
26.0,4,108.0,93,2391,15.5,45
29.5,4,98.0,68,2135,16.6,41
16.0,6,250.0,105,3897,18.5,44
18.1,8,302.0,139,3205,11.2,41
19.2,8,267.0,125,3605,15.0,40
16.0,8,400.0,180,4220,11.1,42
16.5,8,350.0,180,4380,12.1,43
14.0,8,400.0,175,4385,12.0,47
19.0,6,225.0,95,3264,16.0,44
29.0,4,97.0,78,1940,14.5,42
13.0,8,318.0,150,3940,13.2,43
18.0,8,318.0,150,3436,11.0,49
34.0,4,112.0,88,2395,18.0,37
44.6,4,91.0,67,1850,13.8,39
26.0,4,97.0,46,1950,21.0,46
14.0,8,302.0,137,4042,14.5,46
32.0,4,85.0,70,1990,17.0,43
19.0,4,120.0,88,3270,21.9,43
14.0,8,351.0,153,4129,13.0,47
20.2,6,232.0,90,3265,18.2,40
22.0,4,121.0,76,2511,18.0,47
11.0,8,429.0,208,4633,11.0,47
15.0,6,250.0,72,3432,21.0,44
18.5,6,250.0,98,3525,19.0,42
36.0,4,120.0,88,2160,14.5,37
32.0,4,83.0,61,2003,19.0,45
13.0,8,307.0,130,4098,14.0,47
26.4,4,140.0,88,2870,18.1,39
25.0,4,110.0,87,2672,17.5,49
25.0,4,121.0,115,2671,13.5,44
30.0,4,111.0,80,2155,14.8,42
25.0,4,104.0,95,2375,17.5,49
29.0,4,68.0,49,1867,19.5,46
17.0,6,163.0,125,3140,13.6,41
34.5,4,105.0,70,2150,14.9,40
31.9,4,89.0,71,1925,14.0,40
9.0,8,304.0,193,4732,18.5,49
37.2,4,86.0,65,2019,16.4,39
13.0,8,351.0,158,4363,13.0,46
26.0,4,98.0,79,2255,17.7,43
15.0,8,302.0,130,4295,14.9,42
14.0,8,455.0,225,4425,10.0,49
13.0,8,318.0,150,3755,14.0,43
33.7,4,107.0,75,2210,14.4,38
26.0,4,96.0,69,2189,18.0,47
13.0,8,302.0,130,3870,15.0,43
27.0,4,97.0,88,2100,16.5,47
35.7,4,98.0,80,1915,14.4,40
21.0,4,140.0,72,2401,19.5,46
13.0,8,302.0,129,3169,12.0,44
39.4,4,85.0,70,2070,18.6,41
28.0,4,98.0,80,2164,15.0,47
13.0,8,302.0,140,4294,16.0,47
20.2,8,302.0,139,3570,12.8,41
31.0,4,112.0,85,2575,16.2,37
30.0,4,98.0,68,2155,16.5,41
35.0,4,72.0,69,1613,18.0,48
19.2,6,231.0,105,3535,19.2,41
18.2,8,318.0,135,3830,15.2,40
15.0,8,318.0,150,4135,13.5,47
16.9,8,350.0,155,4360,14.9,40
14.0,8,318.0,150,4096,13.0,48
36.0,4,105.0,74,1980,15.3,37
31.0,4,79.0,67,2000,16.0,45
12.0,8,383.0,180,4955,11.5,48
28.0,4,120.0,79,2625,18.6,37
18.0,3,70.0,90,2124,13.5,46
21.5,4,121.0,110,2600,12.8,42
32.0,4,91.0,67,1965,15.7,37
36.0,4,79.0,58,1825,18.6,42
10.0,8,360.0,215,4615,14.0,49
14.0,8,351.0,148,4657,13.5,44
20.6,6,225.0,110,3360,16.6,40
36.1,4,98.0,66,1800,14.4,41
20.2,6,200.0,88,3060,17.1,38
16.0,8,302.0,140,4141,14.0,45
17.6,8,302.0,129,3725,13.4,40
32.0,4,135.0,84,2295,11.6,37
39.0,4,86.0,64,1875,16.4,38
28.8,6,173.0,115,2595,11.3,40
33.0,4,91.0,53,1795,17.5,44
15.0,8,350.0,145,4082,13.0,46
27.0,4,97.0,60,1834,19.0,48
33.5,4,151.0,90,2556,13.2,40
32.4,4,108.0,75,2350,16.8,38
36.4,5,121.0,67,2950,19.9,39
31.0,4,91.0,68,1970,17.6,37
15.0,8,390.0,190,3850,8.5,49
12.0,8,400.0,167,4906,12.5,46
27.0,4,151.0,90,2735,18.0,37
26.0,4,122.0,80,2451,16.5,45
23.0,8,350.0,125,3900,17.4,40
13.0,8,360.0,175,3821,11.0,46
34.1,4,91.0,68,1985,16.0,38
17.5,6,250.0,110,3520,16.4,42
18.0,6,232.0,100,2789,15.0,46
18.0,6,232.0,100,3288,15.5,48
18.0,8,307.0,130,3504,12.0,49
13.0,8,350.0,150,4699,14.5,45
33.0,4,91.0,53,1795,17.4,43
25.1,4,140.0,88,2720,15.4,41
20.8,6,200.0,85,3070,16.7,41
25.5,4,140.0,89,2755,15.8,42
22.0,4,108.0,94,2379,16.5,46
32.2,4,108.0,75,2265,15.2,39
32.0,4,144.0,96,2665,13.9,37
27.0,4,101.0,83,2202,15.3,43
21.0,6,199.0,90,2648,15.0,49
31.0,4,79.0,67,1950,19.0,45
14.0,8,304.0,150,3672,11.5,46
22.4,6,231.0,110,3415,15.8,38
23.0,4,120.0,97,2506,14.5,47
14.5,8,351.0,152,4215,12.8,43
24.0,6,200.0,81,3012,17.6,43
14.0,8,454.0,220,4354,9.0,49
36.1,4,91.0,60,1800,16.4,41
20.5,6,225.0,100,3430,17.2,41
23.5,6,173.0,110,2725,12.6,38
15.0,6,250.0,100,3336,17.0,45
27.2,4,141.0,71,3190,24.8,40
19.0,6,250.0,88,3302,15.5,48
24.0,4,120.0,97,2489,15.0,45
16.5,6,168.0,120,3820,16.7,43
22.0,6,146.0,97,2815,14.5,42
30.9,4,105.0,75,2230,14.5,41
19.0,3,70.0,97,2330,13.5,47
15.5,8,400.0,190,4325,12.2,42
23.9,4,119.0,97,2405,14.9,41
31.0,4,71.0,65,1773,19.0,48
34.2,4,105.0,70,2200,13.2,40
15.5,8,350.0,170,4165,11.4,42
28.0,4,107.0,86,2464,15.5,43
24.3,4,151.0,90,3003,20.1,39
22.0,4,122.0,86,2395,16.0,47
20.0,6,232.0,100,2914,16.0,44
24.0,4,113.0,95,2372,15.0,49
16.0,8,400.0,230,4278,9.5,46
20.6,6,231.0,105,3380,15.8,41
16.0,8,318.0,150,4498,14.5,44
22.0,4,140.0,72,2408,19.0,48
39.1,4,79.0,58,1755,16.9,38
27.0,4,140.0,86,2790,15.6,37
18.0,6,258.0,110,2962,13.5,48
16.0,8,318.0,150,4190,13.0,43
14.0,8,351.0,153,4154,13.5,48
27.2,4,119.0,97,2300,14.7,41
30.0,4,88.0,76,2065,14.5,48
23.0,4,97.0,54,2254,23.5,47
30.0,4,97.0,67,1985,16.4,42
23.9,8,260.0,90,3420,22.2,40
17.0,6,231.0,110,3907,21.0,44
20.0,6,198.0,95,3102,16.5,45
34.4,4,98.0,65,2045,16.2,38
25.5,4,122.0,96,2300,15.5,42
17.5,8,305.0,145,3880,12.5,42
14.0,8,302.0,140,4638,16.0,45
11.0,8,318.0,210,4382,13.5,49
23.0,4,140.0,83,2639,17.0,44
23.0,6,198.0,95,2904,16.0,46
21.6,4,121.0,115,2795,15.7,41
26.0,4,98.0,90,2265,15.5,46
21.0,4,120.0,87,2979,19.5,47
18.0,6,232.0,100,2945,16.0,46
30.0,4,146.0,67,3250,21.8,39
21.0,6,200.0,85,2587,16.0,49
20.0,6,225.0,100,3651,17.7,43
30.5,4,98.0,63,2051,17.0,42
29.0,4,135.0,84,2525,16.0,37
38.1,4,89.0,60,1968,18.8,39
24.0,4,113.0,95,2278,15.5,47
17.0,8,305.0,130,3840,15.4,40
29.0,4,85.0,52,2035,22.2,43
16.0,8,304.0,150,3433,12.0,49
24.0,4,90.0,75,2108,15.5,45
15.0,6,250.0,72,3158,19.5,44
15.0,8,400.0,150,3761,9.5,49
14.0,8,350.0,165,4209,12.0,48
13.0,8,400.0,175,5140,12.0,48
32.9,4,119.0,100,2615,14.8,38
24.0,4,116.0,75,2158,15.5,46
25.0,4,90.0,71,2223,16.5,44
28.0,4,97.0,75,2155,16.4,43
19.4,6,232.0,90,3210,17.2,41
14.0,8,318.0,150,4457,13.5,45
19.0,4,121.0,112,2868,15.5,46
37.3,4,91.0,69,2130,14.7,40
14.0,8,440.0,215,4312,8.5,49
30.0,4,79.0,70,2074,19.5,48
11.0,8,400.0,150,4997,14.0,46
37.0,4,91.0,68,2025,18.2,37
25.0,4,140.0,92,2572,14.9,43
37.0,4,85.0,65,1975,19.4,38
22.0,4,121.0,98,2945,14.5,44
17.0,8,304.0,150,3672,11.5,47
26.0,4,79.0,67,1963,15.5,45
38.0,4,91.0,67,1965,15.0,37
20.3,5,131.0,103,2830,15.9,41
19.0,4,122.0,85,2310,18.5,46
31.6,4,120.0,74,2635,18.3,38
15.0,8,318.0,150,3399,11.0,46
23.8,4,151.0,85,2855,17.6,41
43.1,4,90.0,48,1985,21.5,41
21.0,6,155.0,107,2472,14.0,46
12.0,8,455.0,225,4951,11.0,46
14.0,8,304.0,150,4257,15.5,45
26.6,4,151.0,84,2635,16.4,38
25.4,6,168.0,116,2900,12.6,38
38.0,4,91.0,67,1995,16.2,37
11.0,8,350.0,180,3664,11.0,46
15.0,8,350.0,145,4440,14.0,44
12.0,8,350.0,160,4456,13.5,47
18.0,6,250.0,88,3139,14.5,48
18.0,6,225.0,105,3121,16.5,46
24.0,4,119.0,97,2545,17.0,44
22.0,6,250.0,105,3353,14.5,43
20.5,6,231.0,105,3425,16.9,42
27.5,4,134.0,95,2560,14.2,41
19.0,6,225.0,100,3630,17.7,42
36.0,4,107.0,75,2205,14.5,37
23.0,4,120.0,88,2957,17.0,44
19.4,8,318.0,140,3735,13.2,41
17.5,6,258.0,95,3193,17.8,43
16.0,6,225.0,105,3439,15.5,48
27.4,4,121.0,80,2670,15.0,40
25.0,4,97.5,80,2126,17.0,47
29.9,4,98.0,65,2380,20.7,38
31.5,4,98.0,68,2045,18.5,42
25.0,4,113.0,95,2228,14.0,48
18.0,6,171.0,97,2984,14.5,44
43.4,4,90.0,48,2335,23.7,39
16.0,8,351.0,149,4335,14.5,42
18.6,6,225.0,110,3620,18.7,41
29.5,4,97.0,71,1825,12.2,43
44.3,4,90.0,48,2085,21.7,39
41.5,4,98.0,76,2144,14.7,39
12.0,8,350.0,180,4499,12.5,46
26.0,4,116.0,75,2246,14.0,45
31.0,4,76.0,52,1649,16.5,45
26.0,4,97.0,75,2265,18.2,42
34.0,4,108.0,70,2245,16.9,37
26.6,8,350.0,105,3725,19.0,38
32.1,4,98.0,70,2120,15.5,39
13.0,8,400.0,170,4746,12.0,48
21.0,4,122.0,86,2226,16.5,47
13.0,8,350.0,175,4100,13.0,46
21.0,6,231.0,110,3039,15.0,44
24.5,4,151.0,88,2740,16.0,42
30.7,6,145.0,76,3160,19.6,38
18.5,8,360.0,150,3940,13.0,40
